,kwdprog,kwdmain,kwdvars,semi,equal,int,float,string,id,aster,comma,kwdclass,colon,kwdfcn,kwdif,kwdelseif,kwdelse,kwdwhile,kprint,kwdreturn,ampersand,opeq,opne,ople,opge,plus,minus,slash,caret,brace1,brace2,parens1,parens2,bracket1,bracket2,angle1,angle2
Pgm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Vargroup,,5,4,,,,,,5,5,,,,5,5,,,5,5,5,,,,,,,,,,,5,,,,,,
PPvarlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
Varlist,,,,,,7,7,7,7,,,7,8,8,,,,,,,,,,,,,,,,,8,,,,,,
Varitem,,,,,,9,9,9,9,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
Z,,,,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,,,13,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
Vardecl,,,,,,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simplekind,,,,,,16,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basekind,,,,,,18,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classid,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varspec,,,,,,,,,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,23,23,,,,,,23,,,,,,,,,,,,,,,,,,,,,,23,24,,,
Varid,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrspec,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,
Deref_id,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deref,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varinit,,,,,,31,31,31,31,31,,,,,,,,,,,31,,,,,,,,,32,,31,,,,,
BBexprs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,
W,,,,,,35,35,35,35,35,,,,,,,,,,,,,,,,,,,,,34,35,,,,,
Exprlist,,,,,,36,36,36,36,36,,,,,,,,,,,36,,,,,,,,,,,36,,,,,
Moreexprs,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,38,,38,,,,
Classdecl,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,
Classdef,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
BBClassitems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,
Classheader,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,
Classmom,,,,,,,,,,,,44,,,,,,,,,,,,,,43,,,,,,,,,,,
Classitems,,,,,,41,41,41,41,,,41,41,41,,,,,,,,,,,,,,,,,46,,,,,,
Classgroup,,,,,,"48,50","48,50","48,50","48,50",,,48,"47,50","49,50",,,,,,,,,,,,,,,,,50,,,,,,
Class_ctrl,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,
Interfaces,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,53,,,,,,,
Mddecls,,,,,,55,55,55,55,,,55,55,"54,55",,,,,,,,,,,,,,,,,55,,,,,,
Mdheader,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,
Md_id,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fcndefs,,59,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,
